Symbol,max_position,tcost,score,weights_ystd,sector,market_value,trend
2695,0.0065334387202509205,0.0,-0.0023103423787174,0.0001569412662910788,801120.SI,11563806746.87,0.0974037338691894
2697,0.012,0.0,-0.0018812618150089802,0.0001569412662910788,801200.SI,11851849200.0,0.12355615744673598
2698,0.00345704542201216,0.0,-0.000837633316013283,0.0001569412662910788,801890.SI,8996441871.34,0.0953992443492575
2699,0.0023543503931707397,0.0,0.0016774854042024801,0.0014732746838927754,801760.SI,3622563083.662,-0.0398908904352633
2705,0.009990665698184159,0.0,3.627129686693521e-05,0.00018540358259266104,801110.SI,26353008329.58,0.0671674071443132
2706,0.00615813900854926,0.0,-0.00287572735805073,0.0001569412662910788,801730.SI,8230256926.94,0.180129259329471
2707,0.0116554832880378,0.0,0.00160048895271261,0.0014128550809090763,801210.SI,3281647422.036,-0.0433032721508154
2709,0.012,0.0,0.00195638382517865,0.001692128040665688,801030.SI,14807371913.226002,0.0
2712,0.0036445095255312203,0.0,0.000807761353526938,0.0007907967147086456,801760.SI,2950955081.35,-0.0597839071580921
2713,0.0049673667889506,0.0,0.000904850195339251,0.0008669829435924389,801720.SI,3172949363.1940002,-0.0970192581824678
2717,0.012,0.0,0.000511673381867572,0.0005584546086797561,801720.SI,5278651309.318,-0.0489211927540695
2723,0.00676819925774326,0.0,-0.00114474469497017,0.0001569412662910788,801110.SI,3164063508.0,0.0
2726,0.00785776433850903,0.0,-0.00225797988248462,0.0001569412662910788,801120.SI,7338860229.564,0.0138032551976453
2727,0.0119642004267449,0.0,-0.00127486314741146,0.0001569412662910788,801150.SI,9075744156.0,0.0
2732,0.007149231454636109,0.0,-0.00244715364206277,0.0001569412662910788,801120.SI,3275484296.82,0.0
2733,0.004318008690386571,0.0,0.00148328191723336,0.001320881978077392,801730.SI,6690324477.804,0.0
2734,0.004886631924381229,0.0,-0.0020792625897987803,0.0001569412662910788,801030.SI,4056615951.05,0.0529017067580973
2737,0.00905973704798093,0.0,-0.000188457782996848,0.0001569412662910788,801150.SI,7675488143.8,-0.0539096866376437
2739,0.012,0.0,0.00021443423175691398,0.0003252091656315024,801760.SI,29714481960.032,0.013308422161438344
2741,0.00610365380314724,0.0,0.000208723891289027,0.0003207282253115856,801030.SI,3794036314.01,-0.018220206200748
2745,0.012,0.0,0.000600186134434371,0.0006279111260334679,801080.SI,9744905650.18,-0.00209751813208384
2746,0.00291365635343228,0.0,-0.0019131054438667602,0.0001569412662910788,801010.SI,4798234790.354,0.0
2747,0.00558027414912192,0.0,0.00251656807054364,0.0021317081647851577,801890.SI,6992146397.691999,0.0
2749,0.00228197491670724,0.0,-0.00275047811105284,0.0001569412662910788,801030.SI,3355185451.45,0.0
2751,0.00566254477455296,0.0,0.000763992118654091,0.0007564507189809645,801140.SI,2443380246.972,-0.164460311226731
2755,0.00570488062454203,0.0,-0.00101676493869565,0.0001569412662910788,801150.SI,2585656287.238,0.0139233586972172
2756,0.00690687020747399,0.005,0.0015079408416877901,0.0013402319922236636,801040.SI,3760097689.18,0.0
2757,0.00684805218607358,0.0,0.00141220251518251,0.0012651055212520264,801890.SI,3960924477.928,0.0
2759,0.0039927678803381205,0.0,0.000813378028728873,0.0007952041553013327,801110.SI,2662249993.54,-0.10395810683593901
